meaningful_phrase,bias,outlet,url,sentiment,bias_score,lean_score
send customized marketing,left,https://www.huffpost.com,https://www.huffpost.com/news/crime,0.0,0.9096666666666667,-0.9096666666666667
customized marketing messages,left,https://www.huffpost.com,https://www.huffpost.com/news/crime,0.0,0.9131666666666667,-0.9131666666666667
marketing messages advertising,left,https://www.huffpost.com,https://www.huffpost.com/news/crime,0.0,0.9476666666666667,-0.9476666666666667
messages advertising,left,https://www.huffpost.com,https://www.huffpost.com/news/crime,0.0,0.8562,-0.8562
marketing messages,left,https://www.huffpost.com,https://www.huffpost.com/news/crime,0.0,0.8125666666666667,-0.8125666666666667
send customized marketing,left,https://www.huffpost.com,https://www.huffpost.com/news/politics,0.0,0.9096666666666667,-0.9096666666666667
customized marketing messages,left,https://www.huffpost.com,https://www.huffpost.com/news/politics,0.0,0.9131666666666667,-0.9131666666666667
marketing messages advertising,left,https://www.huffpost.com,https://www.huffpost.com/news/politics,0.0,0.9476666666666667,-0.9476666666666667
messages advertising,left,https://www.huffpost.com,https://www.huffpost.com/news/politics,0.0,0.8562,-0.8562
marketing messages,left,https://www.huffpost.com,https://www.huffpost.com/news/politics,0.0,0.8125666666666667,-0.8125666666666667
trump tariffs greatly,left,https://www.vox.com,https://www.vox.com/politics/406820/trump-tariffs-liberation-day-live-updates-global-markets,0.8,0.9012666666666668,-0.9012666666666668
trump tariffs,left,https://www.vox.com,https://www.vox.com/politics/406820/trump-tariffs-liberation-day-live-updates-global-markets,0.0,0.7282666666666667,-0.7282666666666667
trump unveiled tariff,left,https://www.vox.com,https://www.vox.com/politics/406820/trump-tariffs-liberation-day-live-updates-global-markets,0.0,0.8512666666666666,-0.8512666666666666
trump imposed tariffs,left,https://www.vox.com,https://www.vox.com/politics/406820/trump-tariffs-liberation-day-live-updates-global-markets,0.0,0.8549333333333333,-0.8549333333333333
worried confused tariffs,left,https://www.vox.com,https://www.vox.com/politics/406820/trump-tariffs-liberation-day-live-updates-global-markets,-0.4,0.8506666666666667,-0.8506666666666667
spokesperson national security,left,https://www.motherjones.com,https://www.motherjones.com/politics/2025/03/trump-atlantic-signal-war-chat-leak/,0.0,0.8777666666666667,-0.8777666666666667
national security officials,left,https://www.motherjones.com,https://www.motherjones.com/politics/2025/03/trump-atlantic-signal-war-chat-leak/,0.0,0.9269333333333334,-0.9269333333333334
officials national security,left,https://www.motherjones.com,https://www.motherjones.com/politics/2025/03/trump-atlantic-signal-war-chat-leak/,0.0,0.8905333333333334,-0.8905333333333334
officials involved chat,left,https://www.motherjones.com,https://www.motherjones.com/politics/2025/03/trump-atlantic-signal-war-chat-leak/,0.0,0.8001333333333333,-0.8001333333333333
national security experts,left,https://www.motherjones.com,https://www.motherjones.com/politics/2025/03/trump-atlantic-signal-war-chat-leak/,0.0,0.9312,-0.9312
measles prompted public,left,https://www.motherjones.com,https://www.motherjones.com/politics/2025/04/robert-f-kennedy-jr-measles-outbreak-hysteria-hhs-cdc/,0.0,0.8753666666666667,-0.8753666666666667
